Date,OO,OO_bi_0,OO_ter_0.005,OO_ter_0.01,OC,OC_bi_0,OC_ter_0.005,OC_ter_0.01,CO,CO_bi_0,CO_ter_0.005,CO_ter_0.01,CC,CC_bi_0,CC_ter_0.005,CC_ter_0.01
2013-03-20,-0.0066880423111069,sell,sell,neutral,0.0053455285610823,buy,buy,neutral,-0.002350995513508,sell,neutral,neutral,0.0097351169188737,buy,buy,neutral
2013-03-21,0.0134502482480527,buy,buy,buy,0.0107249376049169,buy,buy,buy,0.001319667227629,buy,neutral,neutral,-0.0013730225723822,sell,neutral,neutral
2013-03-22,-0.0044678793392131,sell,neutral,neutral,-0.0076510461787493,sell,sell,neutral,-0.0017835344862509,sell,neutral,neutral,-0.0049752843914105,sell,neutral,neutral
2013-03-25,0.0063683193279899,buy,buy,neutral,0.0029256942845786,buy,neutral,neutral,0.0095964562148272,buy,buy,neutral,0.0061427882314935,buy,buy,neutral
2013-03-26,-0.0053507375765361,sell,sell,neutral,-0.0007367236442189,sell,neutral,neutral,-0.0019365220671087,sell,neutral,neutral,0.0026933298480267,buy,neutral,neutral
2013-03-27,0.0079885479362566,buy,buy,neutral,0.0115615573491008,buy,buy,buy,0.00333424579803,buy,neutral,neutral,0.0068907571411451,buy,buy,neutral
2013-03-28,0.0002179496832881,buy,neutral,neutral,-0.0038346231307084,sell,neutral,neutral,-0.0033149921561385,sell,neutral,neutral,-0.0073532505858987,sell,sell,neutral
2013-04-02,-0.0083259049156134,sell,sell,neutral,-0.0010062056764654,sell,neutral,neutral,-0.0042916034116666,sell,neutral,neutral,0.0030578736282682,buy,neutral,neutral
2013-04-03,0.0145555069608667,buy,buy,buy,0.0060151760861587,buy,buy,neutral,0.0071217859361995,buy,buy,neutral,-0.0013559693211613,sell,neutral,neutral
2013-04-05,-0.0131481283192956,sell,sell,sell,-0.0355224627261326,sell,sell,sell,-0.0047704798415989,sell,neutral,neutral,-0.0273347559346827,sell,sell,sell
2013-04-08,-0.0223630049491154,sell,sell,sell,-0.0230705109259727,sell,sell,sell,0.0003166078053622,buy,neutral,neutral,-0.0004073111771993,sell,neutral,neutral
2013-04-09,0.003057955847999,buy,neutral,neutral,0.0062833318131023,buy,buy,neutral,0.0037843844253259,buy,neutral,neutral,0.0070120962527391,buy,buy,neutral
2013-04-10,0.0074828948899734,buy,buy,neutral,0.010748519740187,buy,buy,buy,0.0042536740416306,buy,neutral,neutral,0.0075088317922014,buy,buy,neutral
2013-04-11,0.0107051469309917,buy,buy,buy,0.0062786537776633,buy,buy,neutral,0.0074396622138783,buy,buy,neutral,0.0030274706061457,buy,neutral,neutral
