Date,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2021-12-13,24.360001,24.139999,1.0,11.0,140254.75034254527,132769.9945,7484.7558425452735,0.7275068191780821,-1210.011000000005
2021-12-14,23.84,23.76,-1.0,-11.0,140694.03428775075,130680.0,10014.03428775075,0.716054794520548,439.9999999999906
2021-12-15,23.82,23.58,0.0,-11.0,142013.32365761377,129690.0,12323.323657613772,0.7106301369863014,1320.000000000011
2021-12-16,23.52,23.66,-1.0,-11.0,141242.6106165179,130130.0,11112.610616517894,0.713041095890411,-770.0000000000032
2021-12-17,23.639999,23.34,0.0,-11.0,142891.9017192576,128370.0,14521.901719257614,0.7033972602739726,1649.9944999999982
2021-12-20,23.219999,22.9,-1.0,-11.0,144651.20608227135,125949.99999999999,18701.20608227137,0.6901369863013698,1759.9945000000155
2021-12-21,22.92,23.1,0.0,-11.0,143660.5099178878,127050.00000000001,16610.509917887786,0.6961643835616439,-989.9999999999984
2021-12-22,23.32,23.200001,1.0,12.0,142939.75317812889,139200.006,3739.7471781288914,0.7627397589041096,-719.9939999999998
2021-12-23,23.299999,23.34,0.0,12.0,143178.99183566312,140040.0,3138.991835663124,0.7673424657534246,240.00600000000105
2021-12-24,23.4,23.4,1.0,12.0,143178.22252059463,140399.99999999997,2778.2225205946597,0.7693150684931506,0.0
2021-12-28,23.4,23.42,0.0,12.0,143297.4525479919,140520.0,2777.4525479919103,0.7699726027397261,120.00000000001876
2021-12-29,23.379999,23.200001,0.0,12.0,142216.701808233,139200.006,3016.6958082329948,0.7627397589041096,-1079.9880000000073
2021-12-30,23.219999,23.280001,0.0,12.0,142575.94843833707,139680.006,2895.942438337079,0.7653698958904109,360.01199999998335
2021-12-31,23.559999,23.559999,1.0,12.0,142575.17386302748,141359.994,1215.1798630274716,0.7745753095890411,0.0
2022-01-03,23.66,23.4,1.0,12.0,141014.40454795898,140399.99999999997,614.4045479590131,0.7693150684931506,-1560.0000000000093
