,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2021-01-05,27.48,27.74,1.0,5.0,75181.33389450611,69350.0,5831.333894506111,0.15200000000000002,649.999999999995
2021-01-06,27.799999,27.84,0.0,5.0,75281.1838465609,69600.0,5681.1838465609035,0.15254794520547946,100.00250000000044
2021-01-07,27.84,27.700001,0.0,5.0,74931.03456573351,69250.00249999999,5681.032065733525,0.15178082739726026,-349.99749999999887
2021-01-08,27.719999,28.02,0.0,5.0,75680.88353148694,70050.0,5630.883531486936,0.15353424657534245,750.0024999999955
2021-01-11,28.120001,28.120001,0.0,5.0,75680.72944928968,70300.00249999999,5380.7269492896885,0.15408219726027395,0.0
2021-01-12,28.0,28.4,0.0,5.0,76680.57383285133,71000.0,5680.573832851325,0.1556164383561644,999.9999999999965
2021-01-13,28.4,28.4,1.0,5.0,76680.41821641297,71000.0,5680.418216412974,0.1556164383561644,0.0
2021-01-14,28.52,28.639999,0.0,5.0,76980.2587849116,71599.9975,5380.261284911598,0.156931501369863,299.99749999999995
2021-01-15,28.6,28.780001,0.0,5.0,77430.10358627596,71950.0025,5480.101086275958,0.15769863561643838,450.002499999993
2021-01-18,28.58,29.0,0.0,5.0,78479.94468216637,72500.0,5979.944682166373,0.1589041095890411,1050.0000000000043
2021-01-19,29.219999,29.799999,1.0,5.0,79929.78139450062,74499.99750000001,5429.783894500608,0.16328766575342468,1449.9999999999957
2021-01-20,29.799999,30.08,0.0,5.0,80629.61907258282,75199.99999999999,5429.619072582835,0.16482191780821914,700.0024999999965
2021-01-21,30.120001,30.059999,0.0,5.0,80479.44936025955,75149.9975,5329.451860259549,0.16471232328767124,-150.00499999999306
2021-01-22,30.0,29.620001,0.0,5.0,79529.28955888421,74050.00249999999,5479.28705888422,0.16230137534246572,-949.9975000000038
2021-01-25,29.82,30.280001,-1.0,-5.0,78379.1211410705,75700.0025,2679.1186410704977,0.16591781369863015,-1150.0024999999957
2021-01-26,30.1,29.559999,1.0,5.0,77028.95666847324,73899.9975,3128.959168473244,0.161972597260274,-1350.0025000000005
2021-01-27,29.620001,29.459999,-1.0,-5.0,77428.80024382118,73649.9975,3778.8027438211866,0.16142465205479453,400.0049999999966
2021-01-28,29.120001,28.700001,0.0,-5.0,78478.64298354174,71750.00249999999,6728.640483541749,0.15726027945205479,1049.9999999999955
2021-01-29,28.9,28.459999,0.0,-5.0,79578.48953834175,71149.9975,8428.492038341748,0.1559452,1100.0024999999969
2021-02-01,28.540001,29.059999,-1.0,-5.0,78278.33530547051,72649.9975,5628.33780547051,0.15923287123287672,-1299.9950000000026
2021-02-02,29.26,29.42,0.0,-5.0,77878.17409999105,73550.00000000001,4328.17409999104,0.16120547945205485,-400.00000000000034
2021-02-03,29.48,29.459999,0.0,-5.0,77928.01517533901,73649.9975,4278.0176753390115,0.16142465205479453,50.002500000001504
2021-02-04,29.32,29.24,0.0,-5.0,78127.85495616093,73100.0,5027.854956160925,0.1602191780821918,200.0000000000046
2021-02-05,29.459999,29.48,0.0,-5.0,78077.69092191434,73700.0,4377.690921914342,0.16153424657534246,-50.002500000001504
2021-02-08,29.719999,29.5,0.0,-5.0,78627.52677807873,73750.0,4877.526778078725,0.16164383561643836,549.9975000000035
2021-02-09,29.540001,29.58,0.0,-5.0,78527.36719588695,73949.99999999999,4577.367195886967,0.1620821917808219,-99.9974999999953
2021-02-10,29.860001,30.26,0.0,-5.0,77527.20388766778,75650.0,1877.2038876677834,0.1658082191780822,-999.9975000000028
2021-02-11,30.32,30.32,1.0,5.0,77527.03775068148,75800.0,1727.0377506814839,0.16613698630136986,0.0
2021-02-16,30.719999,30.9,0.0,5.0,77976.87093561298,77250.0,726.8709356129839,0.1693150684931507,450.002499999993
2021-02-17,30.700001,31.24,0.0,5.0,79326.69725753079,78100.0,1226.6972575307882,0.17117808219178082,1349.9974999999954
2021-02-18,31.299999,30.780001,0.0,5.0,78026.53359999106,76950.0025,1076.531099991058,0.1686575397260274,-1299.9950000000026
2021-02-19,30.700001,30.799999,-1.0,-5.0,77776.36983287326,76999.99750000001,776.3723328732449,0.1687671178082192,-249.9949999999984
2021-02-22,31.02,30.52,1.0,5.0,76526.20259999654,76300.0,226.2025999965408,0.16723287671232878,-1250.0
2021-02-23,30.4,30.799999,-1.0,-5.0,75526.03633287874,76999.99750000001,-1473.961167121277,0.1687671178082192,-999.9975000000028
2021-02-24,31.0,29.879999,1.0,4.0,73285.90335206121,59759.998,13525.905352061214,0.1309808175342466,-2240.0019999999968
2021-02-25,30.24,30.32,-1.0,-4.0,73125.77044247217,60640.0,12485.770442472174,0.1329095890410959,-160.0000000000037
2021-02-26,29.700001,29.219999,0.0,-4.0,74085.64635480533,58439.998,15645.64835480533,0.12808766684931508,960.0039999999979
2021-03-01,29.540001,29.58,0.0,-4.0,74005.51868905191,59160.0,14845.51868905191,0.12966575342465755,-79.99799999999624
2021-03-02,29.74,29.24,0.0,-4.0,75005.39051370944,58480.0,16525.39051370944,0.12817534246575343,1000.0
2021-03-03,29.299999,30.0,-1.0,-4.0,73605.25700686012,60000.0,13605.25700686012,0.13150684931506848,-1400.0020000000006
2021-03-04,29.58,29.42,1.0,4.0,73285.12804247656,58840.0,14445.128042476557,0.12896438356164383,-319.9999999999932
2021-03-05,29.0,29.24,0.0,4.0,73764.99986713409,58480.0,15284.999867134087,0.12817534246575343,479.9999999999969
2021-03-08,29.58,28.74,0.0,4.0,72084.87388357244,57480.0,14604.873883572436,0.12598356164383562,-1679.9999999999998
2021-03-09,28.860001,28.959999,-1.0,-4.0,71884.75093563161,57919.998,13964.752935631615,0.12694794082191782,-199.99599999999873
2021-03-10,29.299999,29.139999,0.0,-4.0,72204.6231986497,58279.998,13924.6251986497,0.12773698191780825,320.0000000000003
2021-03-11,29.18,29.58,0.0,-4.0,71404.49353289627,59160.0,12244.493532896275,0.12966575342465755,-799.9999999999972
2021-03-12,29.799999,29.0,1.0,4.0,69804.3684096086,58000.0,11804.368409608607,0.1271232876712329,-1599.9979999999994
2021-03-15,29.16,29.120001,-1.0,-4.0,69884.23876028917,58240.002,11644.236760289168,0.1276493194520548,79.99800000000334
2021-03-16,29.32,29.26,0.0,-4.0,70004.11049727547,58520.0,11484.11049727547,0.12826301369863014,119.99999999999744
2021-03-17,29.280001,29.299999,0.0,-4.0,69963.98605892369,58599.998,11363.988058923693,0.12843835178082194,-39.99600000000214
2021-03-18,29.58,29.66,1.0,4.0,70123.85604248533,59320.0,10803.856042485335,0.1300164383561644,160.0000000000037
2021-03-19,29.48,29.18,0.0,4.0,69523.72813015657,58360.0,11163.728130156567,0.1279123287671233,-600.0000000000014
2021-03-22,29.08,29.1,-1.0,-4.0,69483.60056851273,58200.0,11283.600568512731,0.12756164383561644,-40.00000000000625
2021-03-23,29.18,28.799999,0.0,-4.0,70243.47632194177,57599.998,12643.478321941766,0.12624657095890413,760.0020000000001
2021-03-24,28.719999,28.120001,-1.0,-4.0,71443.34905618396,56240.002,15203.347056183957,0.12326575780821919,1199.9960000000058
2021-03-25,27.98,28.16,0.0,-4.0,71083.22561508807,56320.0,14763.225615088071,0.12344109589041097,-359.99999999999943
2021-03-26,28.26,28.559999,0.0,-4.0,70483.10242057191,57119.998,13363.104420571915,0.12519451616438357,-599.9979999999994
2021-03-29,28.559999,28.620001,0.0,-4.0,70362.97296303329,57240.002,13122.970963033287,0.12545753863013698,-120.00399999999445
2021-03-30,28.68,28.82,0.0,-4.0,70082.84662878672,57640.0,12442.84662878672,0.12633424657534248,-280.00000000000114
2021-03-31,29.0,28.66,1.0,4.0,69402.72099591,57320.0,12082.72099591,0.12563287671232878,-679.9999999999998
2021-04-01,28.82,29.16,0.0,4.0,70082.59317125246,58320.0,11762.593171252462,0.12782465753424657,679.9999999999998
2021-04-07,29.32,28.9,1.0,4.0,69242.46648632096,57800.0,11442.466486320962,0.1266849315068493,-840.0000000000034
2021-04-08,28.76,29.280001,-1.0,-4.0,68202.33613563166,58560.002,9642.33413563166,0.1283506893150685,-1040.001999999994
2021-04-09,29.32,29.0,1.0,4.0,67562.20901234398,58000.0,9562.209012343985,0.1271232876712329,-640.0000000000006
2021-04-12,29.0,28.639999,-1.0,-4.0,68282.0854671429,57279.998,11002.087467142897,0.1255452010958904,720.0020000000009
2021-04-13,28.780001,28.92,-1.0,-4.0,68001.96069454015,57840.0,10161.960694540147,0.12677260273972604,-279.9980000000062
2021-04-14,29.0,29.200001,0.0,-4.0,67601.83069453576,58400.002,9201.828694535761,0.12800000438356166,-400.00200000000063
2021-04-15,29.139999,29.02,1.0,4.0,67361.70548357685,58040.0,9321.70548357685,0.1272109589041096,-239.99799999999993
2021-04-16,29.08,29.24,0.0,4.0,67681.57730823438,58480.0,9201.57730823438,0.12817534246575343,320.0000000000003
2021-04-19,29.24,29.379999,0.0,4.0,67961.44651919768,58759.998,9201.448519197678,0.12878903671232877,279.9980000000062
2021-04-20,29.200001,29.360001,0.0,4.0,68281.31781782344,58720.002,9561.315817823437,0.12870137424657535,320.0000000000003
2021-04-21,29.02,28.9,0.0,4.0,68041.19113289194,57800.0,10241.191132891938,0.1266849315068493,-240.000000000002
2021-04-22,28.98,29.0,-1.0,-4.0,68001.06400960426,58000.0,10001.064009604263,0.1271232876712329,-39.99999999999915
2021-04-23,29.0,29.360001,0.0,-4.0,67280.93330823001,58720.002,8560.931308230014,0.12870137424657535,-720.0020000000009
2021-04-26,29.360001,29.219999,1.0,4.0,67000.80122056317,58439.998,8560.803220563168,0.12808766684931508,-280.00399999999814
2021-04-27,29.16,29.16,0.0,4.0,67000.67339590563,58320.0,8680.67339590563,0.12782465753424657,0.0
2021-04-28,29.200001,29.34,0.0,4.0,67280.54278220699,58680.0,8600.54278220699,0.128613698630137,279.9979999999991
2021-04-29,29.34,29.459999,0.0,4.0,67520.41164248536,58919.998,8600.413642485357,0.12913972164383564,239.99799999999993
2021-04-30,29.26,28.799999,0.0,4.0,66600.28339591439,57599.998,9000.28539591439,0.12624657095890413,-920.0020000000038
2021-05-03,28.860001,28.48,-1.0,-4.0,67360.16055207877,56960.0,10400.16055207877,0.12484383561643837,760.0020000000001
2021-05-04,28.5,28.780001,0.0,-4.0,66800.03239317029,57560.002,9240.030393170287,0.12615890849315067,-560.0019999999972
2021-05-05,28.6,28.639999,0.0,-4.0,66719.9088479692,57279.998,9439.9108479692,0.1255452010958904,-79.99799999999624
2021-05-06,28.74,28.780001,0.0,-4.0,66639.78068906072,57560.002,9079.778689060717,0.12615890849315067,-80.00200000000035
2021-05-07,28.940001,28.82,0.0,-4.0,66879.65635481414,57640.0,9239.656354814142,0.12633424657534248,240.00199999999694
2021-05-10,28.959999,28.74,0.0,-4.0,67319.5283712525,57480.0,9839.528371252498,0.12598356164383562,439.9980000000028
2021-05-11,28.440001,28.120001,0.0,-4.0,67959.40510549469,56240.002,11719.40310549469,0.12326575780821919,640.0000000000006
2021-05-12,28.18,28.4,0.0,-4.0,67519.28061234401,56800.0,10719.28061234401,0.12449315068493153,-439.9999999999977
2021-05-13,28.1,27.98,0.0,-4.0,67759.15796028922,55960.0,11799.157960289216,0.12265205479452054,240.000000000002
2021-05-14,28.1,28.200001,0.0,-4.0,67559.03234384648,56400.002,11159.030343846483,0.12361644273972604,-200.0019999999978
2021-05-17,28.299999,28.379999,0.0,-4.0,67398.90793837141,56759.998,10638.909938371413,0.12440547506849316,-160.0000000000037
2021-05-18,28.52,28.780001,1.0,4.0,67918.78377946292,57560.002,10358.781779462915,0.12615890849315067,520.0019999999981
2021-05-20,28.52,28.620001,0.0,4.0,68118.66032192428,57240.002,10878.658321924282,0.12545753863013698,200.0019999999978
2021-05-21,28.719999,28.639999,0.0,4.0,67958.53477672319,57279.998,10678.536776723187,0.1255452010958904,-160.0000000000037
2021-05-24,28.639999,28.66,0.0,4.0,67998.41114384648,57320.0,10678.411143846475,0.12563287671232878,40.0020000000012
2021-05-25,28.700001,29.18,0.0,4.0,68958.2812315177,58360.0,10598.2812315177,0.1279123287671233,959.9979999999988
2021-05-26,29.219999,29.379999,1.0,4.0,69278.15244248099,58759.998,10518.15444248099,0.12878903671232877,320.0000000000003
2021-05-27,29.379999,29.379999,0.0,4.0,69278.02365344428,58759.998,10518.025653444281,0.12878903671232877,0.0
2021-05-28,29.440001,29.42,0.0,4.0,69237.89268906073,58840.0,10397.892689060725,0.12896438356164383,-40.0019999999941
